Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
196307,-0.588,1.3361,2.5678,-0.8866,-0.9773,-1.1724,-1.98,-0.9323,0.8199,0.4124,-1.2313,-3.7991,0.4265,-2.8072,-1.1976,-3.4911,-0.445,-2.0771,-1.2839,0.0144,0.2983,1.5917,0.0529,-0.9568,0.6882
196308,2.3656,4.0255,2.4627,2.6665,4.1942,6.5111,5.8692,3.8409,4.8916,3.7759,6.4939,4.4905,3.8398,4.6563,7.1584,5.4381,5.3484,6.4204,4.4289,6.5983,4.8572,4.2866,5.3068,5.6946,5.9835
196309,-1.3983,-0.8718,-1.9406,4.2566,-1.3751,-1.838,-1.7595,0.0814,-2.1056,-4.0012,-0.6052,-1.5652,-2.0164,-1.1664,-3.5795,-1.7807,-1.0764,-2.2074,-2.6623,-2.3075,-2.4348,-2.2749,0.8966,-1.8203,-1.2376
196310,0.2669,-0.9385,1.3085,3.1559,0.3955,3.6192,3.1351,1.2895,-1.2666,4.7457,1.7915,2.4473,2.8253,1.5631,1.0571,3.0527,0.4481,1.7736,-0.6654,3.0401,-0.0258,0.1551,2.4051,3.152,7.7794
196311,-2.1755,-1.413,-3.3743,-2.3083,-3.1325,-1.3337,-0.1868,-0.0751,-1.1251,-2.1496,-1.0916,-0.3627,-2.2517,-3.1298,-2.4146,-0.1035,-1.0495,-0.0628,-0.4844,0.6525,-0.9922,-1.1321,1.2581,0.7443,-2.7711
196312,-1.2311,-0.7649,-0.7081,-0.4073,-2.221,-0.1987,-0.2248,0.2267,-0.6084,-0.3466,1.8253,1.7096,-0.5096,-0.8408,3.2433,3.6716,1.4921,0.5005,1.4315,-0.8195,0.1804,4.473,1.5623,2.9735,2.0783
196401,5.105,4.4188,2.7868,4.5117,2.6098,0.9394,2.4084,2.1467,1.5414,1.3404,3.9799,1.7404,1.0906,0.9375,3.8163,2.2593,1.0523,1.6916,0.6793,0.694,2.0302,4.6592,2.3786,1.7622,3.1642
196402,3.6669,0.7178,-0.5644,1.7362,2.6408,3.425,1.5558,0.8735,-0.4851,3.6405,3.0375,2.3355,2.1146,0.8742,2.5214,1.6195,1.9107,3.974,2.2221,3.2402,2.3396,1.6854,0.8735,1.5558,2.2743
196403,2.4996,2.645,1.5221,2.59,1.6905,4.926,6.1555,2.9065,3.4736,3.589,8.3884,3.8656,1.6236,3.0595,1.8192,4.9909,3.4461,3.6122,2.4202,3.1449,1.4401,2.5886,-0.0943,1.3966,2.0059
196404,-0.7104,1.3974,0.3299,2.6839,-1.4546,-0.5843,-1.025,-1.6096,-2.1145,-0.4026,-1.765,-0.404,1.0398,-3.8075,-1.4718,5.8524,0.2089,-0.9666,-0.2235,-2.8547,3.0772,2.3663,0.3797,-1.1595,0.8404
196405,1.6491,-0.2995,1.2305,-0.014,-1.5751,4.4941,1.1394,1.085,-0.7225,3.4244,1.5755,-1.3411,1.5798,-0.3423,1.7206,1.5329,1.6659,1.9873,1.5366,2.4515,-0.6659,2.7064,0.5361,0.4353,2.8756
196406,0.0816,1.9665,0.0257,2.5966,1.3174,1.5013,2.1334,1.9246,-0.7142,3.0973,1.7826,3.1968,3.8385,1.5192,1.4021,0.2763,1.7467,2.4568,0.9595,0.8068,2.5941,0.6347,4.0921,0.571,0.7582
196407,3.5107,4.8453,2.6532,2.8684,2.8946,3.4434,2.1732,2.084,1.7715,3.3822,0.9908,5.5966,3.241,2.2066,1.5136,0.0402,2.2514,1.1778,3.3414,1.9873,2.4211,1.9319,0.5666,3.1844,2.3475
196408,0.2803,-0.5112,-0.9912,-1.0947,-0.8525,-1.8902,-2.1351,-1.9152,1.4646,-0.4116,-1.468,0.1713,-1.2076,0.8982,-1.458,-0.0834,1.7256,1.3846,-0.1932,-2.2409,-1.8735,-1.9848,-0.8404,-1.1606,-1.2548
196409,2.6364,5.2736,4.0394,4.7315,5.3901,4.7715,2.5418,2.9103,-1.2687,2.6849,1.3893,3.9687,2.278,1.0817,2.6813,3.543,4.1801,3.635,1.9122,6.3814,4.7311,3.7129,1.0683,3.7959,2.9835
196410,2.3961,1.7662,3.0161,2.2981,2.1908,1.0004,1.2929,1.081,1.8249,1.3914,1.6595,2.3933,1.8354,2.0163,4.6121,1.7334,3.5313,0.4727,2.3702,0.367,3.7472,1.9208,-0.0939,1.7738,-0.5422
196411,-1.0219,0.2805,1.5795,0.1595,0.8165,-1.7856,0.421,-1.0207,-2.3515,1.3098,-2.0152,2.2074,-0.1916,2.1791,0.6916,-0.1831,0.5356,1.3041,0.2266,0.8764,0.5657,1.0602,-0.6497,1.2593,0.336
196412,-1.1455,-2.246,-3.2861,0.0611,-1.8181,-0.4321,1.6675,-1.4642,1.2423,0.6524,-0.7273,-0.6436,0.0907,0.208,-0.4002,-1.6421,-1.86,0.8992,0.3356,0.7983,-0.6796,-1.1552,2.0114,0.3969,1.1199
196501,7.1112,7.7361,5.7374,8.3606,8.1565,5.7822,4.8807,5.8059,7.147,7.4024,6.4854,6.9466,3.7989,5.4551,6.141,8.6015,5.1622,3.4811,5.3056,6.5943,3.5504,0.0814,1.7727,4.6918,5.5095
196502,2.0792,2.282,3.7387,3.0763,4.0083,3.859,1.8935,5.5038,3.667,2.7021,3.9481,4.0041,5.3024,1.1793,6.1682,2.5282,3.4187,2.8935,2.3124,4.2307,2.0639,-2.7731,0.797,1.1604,0.5508
196503,1.794,4.1632,2.9525,0.0091,1.4938,0.4215,-0.0647,0.5403,1.28,2.5888,-0.0124,0.6528,0.1211,1.6385,-1.5083,0.5011,0.6182,0.5704,-0.858,-1.9573,-2.6353,-2.5099,-1.1876,-0.4205,-1.3958
196504,3.4536,5.6794,4.4981,3.9052,5.8416,3.6008,3.4687,5.4183,2.5704,2.8014,5.3921,3.1342,4.1122,4.9501,3.1164,5.7847,3.1932,4.342,2.519,4.4421,3.3142,1.4166,3.3995,3.2923,4.6011
196505,-0.9896,-1.1169,-1.2442,0.0245,0.1049,0.0062,2.1962,-0.3548,0.5287,-0.2434,-2.511,2.1863,-2.0473,0.4588,1.0971,-3.0965,0.3246,-0.7885,-1.0445,2.3369,0.5497,0.4402,0.7475,-1.1483,-0.7443
